[2021-03-04 10:24:19:412] : DATE,TimeDate, Serial No, Start Tme, End Time, R0,R1,OS0,V0,L0,ETC0,D0,C0,Write Result, Varify Result, ICT Result, Resul
[2021-03-04 11:02:35:086] : 20210304,,110208,110235,open_OK,short_OK,R57(4.7K)(4.67K),R65(4.7K)(4.72K),R67(4.7K)(4.58K),R48(4.7K)(4.73K),R48(4.7K)(4.69K),R70(4.7K)(4.79K),R71(4.7K)(4.78K),R66(4.7K)(4.74K),R68(4.7K)(4.80K),R72(4.7K)(4.80K),R73(4.7K)(4.78K),R75(0)(0.07K),R76(0)(0.07K),R5(0)(0.07K),R6(0)(0.07K),D13(0.15V),D12(0.73V),C38(4.7uF)(4.238uF),C37(4.7uF)(4.245uF),C19(4.7uF)(4.252uF),C20(4.7uF)(4.269uF),C21(4.7uF)(4.266uF),C22(4.7uF)(4.219uF),C23(2.2uF)(0.007uF),C23(2.2uF)(0.007uF),C24(2.2uF)(0.001uF),C24(2.2uF)(0.001uF),C31(2.2uF)(0.003uF),C31(2.2uF)(0.003uF),VDD(90uF)(89.300uF),C34(4.7uF)(3.506uF),C29(1uF)(0.920uF),C30(1uF)(0.924uF),C27(1uF)(0.951uF),C28(1uF)(0.887uF),

[2021-03-04 11:06:31:457] : 20210304,,110605,110631,open_OK,short_OK,R57(4.7K)(4.69K),R65(4.7K)(4.64K),R67(4.7K)(4.58K),R48(4.7K)(4.73K),R48(4.7K)(4.73K),R70(4.7K)(4.76K),R71(4.7K)(4.77K),R66(4.7K)(4.76K),R68(4.7K)(4.77K),R72(4.7K)(4.75K),R73(4.7K)(4.76K),R75(0)(0.07K),R76(0)(0.07K),R5(0)(0.07K),R6(0)(0.07K),D13(0.16V),D12(0.73V),C38(4.7uF)(4.613uF),C37(4.7uF)(4.338uF),C19(4.7uF)(4.328uF),C20(4.7uF)(4.354uF),C21(4.7uF)(4.333uF),C22(4.7uF)(4.341uF),C23(2.2uF)(2.143uF),C24(2.2uF)(2.082uF),C31(2.2uF)(2.093uF),VDD(90uF)(94.800uF),C34(4.7uF)(4.157uF),C29(1uF)(0.912uF),C30(1uF)(0.920uF),C27(1uF)(0.930uF),C28(1uF)(0.892uF),

[2021-03-04 11:07:45:454] : 20210304,,110718,110745,open_OK,short_OK,R57(4.7K)(4.73K),R65(4.7K)(4.63K),R67(4.7K)(4.63K),R48(4.7K)(4.69K),R48(4.7K)(4.67K),R70(4.7K)(4.78K),R71(4.7K)(4.75K),R66(4.7K)(4.77K),R68(4.7K)(4.76K),R72(4.7K)(4.77K),R73(4.7K)(4.78K),R75(0)(0.07K),R76(0)(0.07K),R5(0)(0.07K),R6(0)(0.07K),D13(0.15V),D12(0.73V),C38(4.7uF)(4.710uF),C37(4.7uF)(4.426uF),C19(4.7uF)(4.424uF),C20(4.7uF)(4.423uF),C21(4.7uF)(4.431uF),C22(4.7uF)(4.429uF),C23(2.2uF)(2.122uF),C24(2.2uF)(2.061uF),C31(2.2uF)(2.054uF),VDD(90uF)(94.700uF),C34(4.7uF)(4.027uF),C29(1uF)(0.944uF),C30(1uF)(0.926uF),C27(1uF)(0.926uF),C28(1uF)(0.898uF),

[2021-03-04 11:09:18:329] : 20210304,,110852,110918,open_OK,short_OK,R57(4.7K)(4.72K),R65(4.7K)(4.74K),R67(4.7K)(4.71K),R48(4.7K)(4.69K),R48(4.7K)(4.66K),R70(4.7K)(4.77K),R71(4.7K)(4.78K),R66(4.7K)(4.76K),R68(4.7K)(4.80K),R72(4.7K)(4.75K),R73(4.7K)(4.77K),R75(0)(0.07K),R76(0)(0.07K),R5(0)(0.07K),R6(0)(0.07K),D13(0.16V),D12(0.73V),C38(4.7uF)(4.604uF),C37(4.7uF)(4.330uF),C19(4.7uF)(4.328uF),C20(4.7uF)(4.335uF),C21(4.7uF)(4.352uF),C22(4.7uF)(4.368uF),C23(2.2uF)(2.125uF),C24(2.2uF)(2.073uF),C31(2.2uF)(2.057uF),VDD(90uF)(87.500uF),C34(4.7uF)(3.993uF),C29(1uF)(0.948uF),C30(1uF)(0.902uF),C27(1uF)(0.947uF),C28(1uF)(0.938uF),

[2021-03-04 11:10:12:139] : 20210304,,110945,111012,open_OK,short_OK,R57(4.7K)(4.68K),R65(4.7K)(4.72K),R67(4.7K)(4.74K),R48(4.7K)(4.62K),R48(4.7K)(4.74K),R70(4.7K)(4.77K),R71(4.7K)(4.77K),R66(4.7K)(4.80K),R68(4.7K)(4.78K),R72(4.7K)(4.78K),R73(4.7K)(4.75K),R75(0)(0.07K),R76(0)(0.07K),R5(0)(0.07K),R6(0)(0.07K),D13(0.16V),D12(0.73V),C38(4.7uF)(4.605uF),C37(4.7uF)(4.358uF),C19(4.7uF)(4.374uF),C20(4.7uF)(4.363uF),C21(4.7uF)(4.362uF),C22(4.7uF)(4.350uF),C23(2.2uF)(2.153uF),C24(2.2uF)(2.101uF),C31(2.2uF)(2.113uF),VDD(90uF)(96.600uF),C34(4.7uF)(4.103uF),C29(1uF)(0.904uF),C30(1uF)(0.931uF),C27(1uF)(0.903uF),C28(1uF)(0.967uF),

